"Idades
Exatas
(X)";"Probabilidades de Morte
entre Duas Idades Exatas
Q (X, N) (Por Mil)";"Óbitos
D (X, N)";"l ( X )";"L (X, N)";"T(X)";"Expectativa de Vida
à Idade X
E(X)";"ano"
"43";"3.3266146232453808";"309.34502319244086";"92990.940709161499";"92836.268197565281";"3332493.8583636936";"35.83675821482872";2013
"44";"3.5801663340046854";"331.81552865674036";"92681.595685969063";"92515.687921640696";"3239657.5901661282";"34.954702346116115";2013
"45";"3.8573043860033001";"356.22121204724141";"92349.780157312329";"92171.669551288709";"3147141.9022444873";"34.078499124562278";2013
"46";"4.1561233317007611";"382.33657669860548";"91993.558945265089";"91802.390656915784";"3054970.2326931986";"33.208523158788367";2013
"47";"4.4773153012963247";"410.17232768124285";"91611.222368566479";"91406.136204725859";"2963167.8420362826";"32.345031159119223";2013
"48";"4.8207545140720702";"439.65787367271031";"91201.050040885239";"90981.221104048891";"2871761.7058315566";"31.488252652180559";2013
"49";"5.1881232763848795";"470.88129129981161";"90761.392167212529";"90525.951521562616";"2780780.4847275079";"30.638363056445737";2013
"50";"5.583315042264851";"504.12036754726159";"90290.510875912718";"90038.450692139086";"2690254.5332059455";"29.79554005296518";2013
"51";"6.0076733044094315";"539.40730135638751";"89786.390508365454";"89516.686857687251";"2600216.0825138064";"28.960024651748782";2013
"52";"6.4599443203372413";"576.53054227535142";"89246.983207009063";"88958.717935871391";"2510699.3956561191";"28.132036573522406";2013
"53";"6.9410800483887369";"615.46870987278112";"88670.452664733719";"88362.718309797317";"2421740.6777202478";"27.311698597918962";2013
"54";"7.4540208721016015";"656.36368829210505";"88054.983954860931";"87726.802110714882";"2333377.9594104504";"26.499101522823459";2013
"55";"8.0118119289617589";"700.22130842649506";"87398.620266568832";"87048.509612355585";"2245651.1572997356";"25.694354790160549";2013
"56";"8.6115295720734402";"746.60582647946387";"86698.398958142338";"86325.096044902602";"2158602.6476873802";"24.897837487512838";2013
"57";"9.2393323077239824";"794.13717918818111";"85951.793131662867";"85554.724542068783";"2072277.5516424775";"24.109765208366468";2013
