"cod_mun";"n_bpc_cadunico";"comdireito_a_bpc";"desv_pad_n_bpc_cadunico";"desv_pad_bpc";"Município";"idosos";"Total";"prop_idosos_cadunico";"direito_bpc_prop_idosos";"ano"
"320115";0;5,26829043980825;0;5,26829043990341;"Brejetuba";641;12715;0,00821886184057449;0,00821886184057449;2014
"320120";0;316,10288668098;0;45,3201019311843;"Cachoeiro de Itapemirim";16509;206969;0,0191473067224532;0,0191473067224532;2014
"320130";0;1095,80650222027;0;80,9316037443958;"Cariacica";23829;378914;0,0459862563355687;0,0459862563355687;2014
"320140";NA;NA;NA;NA;"Castelo";3741;37583;NA;NA;2014
"320150";0;200,188234489049;0;34,9445801037609;"Colatina";10231;121671;0,0195668296832224;0,0195668296832224;2014
"320160";0;115,90261025633;0;24,710464528447;"Conceição da Barra";2022;30890;0,0573207765857221;0,0573207765857221;2014
"320170";0;15,8048709764916;0;9,12493306389114;"Conceição do Castelo";1144;12673;0,0138154466577724;0,0138154466577724;2014
"320180";0;10,5365808796165;0;7,45048229991659;"Divino de São Lourenço";333;4670;0,0316413840228724;0,0316413840228724;2014
"320190";NA;NA;NA;NA;"Domingos Martins";2909;34236;NA;NA;2014
"320200";0;10,5365801937502;0;7,45048181493767;"Dores do Rio Preto";528;6860;0,0199556443063451;0,0199556443063451;2014
"320210";0;57,9511948378907;0;17,4728139107302;"Ecoporanga";2270;24300;0,0255291607215378;0,0255291607215378;2014
"320220";NA;NA;NA;NA;"Fundão";1682;19585;NA;NA;2014
"320225";0;5,26829043980825;0;5,26829043990341;"Governador Lindenberg";1058;12124;0,00497948056692651;0,00497948056692651;2014
"320230";0;47,4146122436085;0;15,8047775702182;"Guaçuí";2895;30411;0,0163781044019373;0,0163781044019373;2014
"320240";0;194,921566490281;0;35,3397173459483;"Guarapari";9012;118055;0,0216291130149002;0,0216291130149002;2014
"320245";0;52,682903369283;0;21,0730798001497;"Ibatiba";1890;24915;0,0278745520472397;0,0278745520472397;2014
"320250";0;10,5365808796165;0;7,45048229991659;"Ibiraçu";1025;12246;0,0102795911020649;0,0102795911020649;2014
"320255";NA;NA;NA;NA;"Ibitirama";664;9388;NA;NA;2014
"320260";0;5,26829043980825;0;5,26829043990341;"Iconha";1216;13667;0,00433247569063178;0,00433247569063178;2014
"320265";0;21,0731610733667;0;10,5365572421846;"Irupi";949;12946;0,0222056491816298;0,0222056491816298;2014
"320270";0;5,26829043980825;0;5,26829043990341;"Itaguaçu";1804;14834;0,00292033838126843;0,00292033838126843;2014
"320280";0;189,64290308269;0;34,1395164203693;"Itapemirim";2559;33948;0,0741082075352442;0,0741082075352442;2014
"320290";0;5,26829043980825;0;5,26829043990341;"Itarana";1319;11318;0,00399415499606387;0,00399415499606387;2014
"320300";0;5,26829043980825;0;5,26829043990341;"Iúna";2146;29423;0,00245493496729182;0,00245493496729182;2014
"320305";0;26,3414518561081;0;11,7802206700231;"Jaguaré";1569;28126;0,0167886882448108;0,0167886882448108;2014
"320310";0;15,8048713194247;0;9,12493326188251;"Jerônimo Monteiro";1329;11798;0,0118923034758651;0,0118923034758651;2014
"320313";0;21,073161759233;0;12,9046075443991;"João Neiva";1648;16947;0,0127871127179812;0,0127871127179812;2014
"320316";0;5,2682900968751;0;5,26829009697076;"Laranja da Terra";1345;11430;0,00391694430994431;0,00391694430994431;2014
"320320";0;547,903252996917;0;58,1897403067723;"Linhares";9309;160769;0,0588573695345275;0,0588573695345275;2014
"320330";0;15,8048713194247;0;9,12493326188251;"Mantenópolis";1421;14965;0,0111223584232405;0,0111223584232405;2014
"320332";0;131,707513317401;0;31,1676305222828;"Marataízes";3124;37532;0,0421598954281053;0,0421598954281053;2014
"320334";0;10,5365801937502;0;7,45048181493767;"Marechal Floriano";1238;15909;0,00851096946183376;0,00851096946183376;2014
"320335";0;5,26829043980825;0;5,26829043990341;"Marilândia";1186;12221;0,00444206613811825;0,00444206613811825;2014
"320340";0;131,692660805108;0;27,3717412878827;"Mimoso do Sul";2680;27328;0,0491390525392194;0,0491390525392194;2014
"320350";0;179,14536689195;0;30,7230694883903;"Montanha";1908;19141;0,0938917017253409;0,0938917017253409;2014
"320360";0;10,5365808796165;0;7,45048229991659;"Mucurici";584;5898;0,0180420905472885;0,0180420905472885;2014
