"cod_mun";"n_pbf_cadunico";"ben_pbf";"desv_pad_n_pbf";"desv_pad_pbf";"Município";"pop0a6";"prop_pinf_cadunico";"pbf_pop0a6";"ano"
"320030";0;239,233583672555;0;44,7375532701359;"Alfredo Chaves";1350;0,177210061979671;0,177210061979671;2015
"320035";0;296,441615666228;0;49,062434637652;"Alto Rio Novo";769;0,385489747290284;0,385489747290284;2015
"320040";0;462,864979428621;0;57,2055861002419;"Anchieta";2676;0,172968975870187;0,172968975870187;2015
"320050";0;239,233584317049;0;41,6049563005384;"Apiacá";733;0,326375967690381;0,326375967690381;2015
"320060";0;3323,27347134772;0;162,551798844628;"Aracruz";10470;0,317409118562341;0,317409118562341;2015
"320070";0;135,218982413393;0;35,2727473870331;"Atilio Vivacqua";974;0,138828524038392;0,138828524038392;2015
"320080";0;2054,29267450179;0;125,354517466069;"Baixo Guandu";2840;0,723342491021759;0,723342491021759;2015
"320090";0;2433,84764817646;0;135,807517221274;"Barra de São Francisco";4526;0,537748044228118;0,537748044228118;2015
"320100";0;353,649646340728;0;49,3368097192207;"Boa Esperança";1513;0,233740678348135;0,233740678348135;2015
"320110";0;228,832124197206;0;47,0939080575049;"Bom Jesus do Norte";838;0,273069360617191;0,273069360617191;2015
"320115";0;390,054757644808;0;56,7315270890688;"Brejetuba";1329;0,293494926745529;0,293494926745529;2015
"320120";0;6027,89421766105;0;223,501031286073;"Cachoeiro de Itapemirim";19644;0,306856761233;0,306856761233;2015
"320130";0;14224,1431613071;0;346,049088789665;"Cariacica";40828;0,348391867377953;0,348391867377953;2015
