"";"local";"Tx de Cobertura Bruta - Creche";"Tx de Cobertura Efetiva - Creche";"Tx de Cobertura - Pré-escola";"Tx de Cobertura efetiva  - Pré-escola";"Creches e Pre-escolas / 1.000 crianças de 0 a 6";"Creches e Pré-escolas públicas (% do total)";"Nº de alunos por turma"
"57";"Piúma - ES";"0.411821705426357";"0.424418604651163";"1.15248226950355";"0.971631205673759";"6.25";"0.916666666666667";"15.5797101449275"
"58";"Ponto Belo - ES";"0.405727923627685";"0.381861575178998";"1.26490066225166";"1.20529801324503";"6.10687022900763";"1";"14.8695652173913"
"59";"Presidente Kennedy - ES";"0.655948553054662";"0.604501607717042";"1.0521472392638";"0.95398773006135";"16.5137614678899";"1";"18"
"60";"Rio Bananal - ES";"0.318359375";"0.3203125";"1.07627118644068";"0.934322033898305";"8.63060989643268";"1";"16.5"
"61";"Rio Novo do Sul - ES";"0.510729613733906";"0.478540772532189";"1.04779411764706";"0.900735294117647";"9.00900900900901";"1";"12.7560975609756"
"62";"Santa Leopoldina - ES";"0.287234042553192";"0.281914893617021";"1.22727272727273";"1.14545454545455";"14.2857142857143";"1";"14.8965517241379"
"63";"Santa Maria de Jetibá - ES";"0.241309823677582";"0.221662468513854";"0.968968968968969";"0.876876876876877";"8.22695035460993";"1";"16.0777777777778"
"64";"Santa Teresa - ES";"0.36325237592397";"0.335797254487856";"0.996039603960396";"0.895049504950495";"9.80392156862745";"1";"12.3676470588235"
"65";"São Domingos do Norte - ES";"0.208711433756806";"0.165154264972777";"0.959537572254335";"0.872832369942196";"12.2850122850123";"1";"14.05"
"66";"São Gabriel da Palha - ES";"0.264219234746639";"0.2435367114788";"0.826086956521739";"0.749706227967098";"4.64828013634955";"0.933333333333333";"19.2698412698413"
"67";"São José do Calçado - ES";"0.231751824817518";"0.341240875912409";"1.1048951048951";"0.818181818181818";"8.09716599190283";"0.875";"11.972972972973"
"68";"São Mateus - ES";"0.305003849114704";"0.268514241724403";"0.981976744186047";"0.890406976744186";"7.49127436792373";"0.897727272727273";"13.7049608355091"
"69";"São Roque do Canaã - ES";"0.236628849270664";"0.20259319286872";"1.04484304932735";"0.95067264573991";"7.47863247863248";"1";"11.4848484848485"
"70";"Serra - ES";"0.21770754124376";"0.188150890997454";"0.902978220939386";"0.822421936499606";"1.71443479557229";"0.760869565217391";"16.8680497925311"
"71";"Sooretama - ES";"0.365991521431936";"0.336787564766839";"0.962585034013605";"0.866213151927438";"2.89268151576511";"1";"17.8681318681319"
"72";"Vargem Alta - ES";"0.256239600665557";"0.236272878535774";"1.05773195876289";"0.923711340206186";"8.2135523613963";"0.9375";"16.7551020408163"
"73";"Venda Nova do Imigrante - ES";"0.73010752688172";"0.68494623655914";"1.01701323251418";"0.935727788279773";"6.7001675041876";"0.833333333333333";"13.5222222222222"
"74";"Viana - ES";"0.445800093852651";"0.394885030502112";"0.977140077821012";"0.871108949416342";"2.6892564205997";"0.9";"21.478021978022"
"75";"Vila Pavão - ES";"0.131634819532909";"0.114649681528662";"0.893333333333333";"0.822222222222222";"9.87654320987654";"1";"13.8421052631579"
"76";"Vila Valério - ES";"0.463934426229508";"0.434426229508197";"1.07073954983923";"0.942122186495177";"6.52985074626866";"1";"15.4"
"77";"Vila Velha - ES";"0.208098411071246";"0.192977960020502";"0.876216302440581";"0.784893922475674";"2.05537705537706";"0.425287356321839";"19.6262376237624"
"78";"Vitória - ES";"0.678747940691928";"0.654774754303244";"0.953798654757967";"0.868563237402139";"2.95895641107222";"0.526881720430108";"16.5169902912621"
"79";"Espírito Santo";"0.343903136619315";"0.321794260654019";"0.953981664569477";"0.857252334503344";"4.46166522162925";"0.852142426071213";"15.928076418805"
